Material_Code,itemdesc,Item_Type,State_Name,Valid_Start_Date,Valid_End_Date,Sale_Start_Date,Sale_End_Date,SerialNo_Entry_Start_Date,SerialNo_Entry_End_Date,Entries_Count,Multiplier_Count,Multiplier_Type,ErrorDescription
T30000000347,DLS-G (GPRS Stick),Accessories,ANDAMAN AND NICOBAR,02-01-2020 00:00:00,08-01-2020 00:00:00,01-07-2020 00:00:00,01-08-2020 00:00:00,01-07-2020 00:00:00,01-08-2020 00:00:00,33,44.11,add,Valid Start Date is greater then  from Now.
T30000001216,AMS PV Module AL 60W/12V Poly Crys.,Amaze,ANDAMAN AND NICOBAR,03-01-2020 00:00:00,08-01-2020 00:00:00,01-07-2020 00:00:00,01-08-2020 00:00:00,01-07-2020 00:00:00,01-08-2020 00:00:00,33,44.11,add,Valid Start Date is greater then  from Now.
